Player,First,Last,Nickname,Ht,Wt,Reach,Stance,DOB,W,L,D,Belt,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Damon Jackson,Damon,Jackson,The Leech,"5' 11""",155 lbs.,"71.0""",Switch,"Aug 08, 1988",23,8,1,,2.96,42%,3.47,49%,2.30,32%,37%,1.2,http://www.ufcstats.com/fighter-details/29af297d9f1de0f8
Kenyon Jackson,Kenyon,Jackson,,"6' 0""",185 lbs.,--,,--,4,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/56c5132870a526d5
Mike Jackson,Mike,Jackson,The Truth,"6' 2""",170 lbs.,"74.0""",Orthodox,"Mar 22, 1985",1,2,0,,4.49,57%,3.73,62%,0.71,33%,88%,0.0,http://www.ufcstats.com/fighter-details/0641c21bec209472
Jason Jackson,Jason,Jackson,Jah-Son,"6' 1""",170 lbs.,"78.0""",Orthodox,"Oct 30, 1990",7,2,0,,2.24,48%,1.31,56%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ca8da445dfa82d56
Montel Jackson,Montel,Jackson,Quik,"5' 10""",135 lbs.,"75.0""",Southpaw,"Apr 24, 1992",15,3,0,,3.09,52%,1.40,61%,3.00,63%,67%,0.3,http://www.ufcstats.com/fighter-details/cc1a8b4b38b92c6d
Eric Jacob,Eric,Jacob,,--,155 lbs.,--,,--,1,9,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ba17afef01ed78b6
Richard Jacobi,Richard,Jacobi,,"6' 4""",260 lbs.,"75.0""",Orthodox,"Sep 28, 1993",6,1,1,,0.88,44%,3.94,51%,3.28,100%,100%,0.0,http://www.ufcstats.com/fighter-details/46f557bd44da630e
Dustin Jacoby,Dustin,Jacoby,The Hanyak,"6' 3""",205 lbs.,"76.0""",Orthodox,"Apr 04, 1988",22,9,1,,5.40,48%,3.92,57%,0.32,25%,62%,0.0,http://www.ufcstats.com/fighter-details/e4277e87a789d687
Justin James,Justin,James,,"5' 10""",155 lbs.,--,Orthodox,"Nov 08, 1976",13,7,0,,1.34,36%,2.68,50%,0.00,0%,50%,1.6,http://www.ufcstats.com/fighter-details/1ea8df62b3f8fea6
Nate James,Nate,James,,"6' 0""",185 lbs.,--,,"May 29, 1978",14,8,1,,1.33,42%,2.67,28%,0.00,0%,44%,0.0,http://www.ufcstats.com/fighter-details/a34fecf2f4e5a317
Virna Jandiroba,Virna,Jandiroba,Carcara,"5' 3""",115 lbs.,"64.0""",Orthodox,"May 30, 1988",22,4,0,,2.33,41%,2.90,55%,2.85,37%,74%,1.5,http://www.ufcstats.com/fighter-details/7dda2cf308f24a02
Ryan Janes,Ryan,Janes,,"6' 3""",185 lbs.,"76.0""",Orthodox,"Aug 22, 1981",10,3,0,,7.69,48%,5.53,59%,0.35,100%,58%,0.0,http://www.ufcstats.com/fighter-details/b59037262c8fe060
YunSeong Jang,YunSeong,Jang,,"6' 0""",170 lbs.,"72.0""",Orthodox,"Nov 04, 2002",7,2,0,,2.53,41%,4.13,51%,2.00,50%,90%,0.0,http://www.ufcstats.com/fighter-details/c7b0081edfef4bc7
Josh Janousek,Josh,Janousek,,"5' 11""",185 lbs.,--,Orthodox,"Sep 25, 1980",8,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8f7380fb0916dc77
Dave Jansen,Dave,Jansen,,"5' 9""",155 lbs.,"73.0""",Orthodox,"Aug 21, 1979",20,4,0,,2.94,33%,3.67,58%,2.79,28%,38%,0.9,http://www.ufcstats.com/fighter-details/335ad945324c3a2e
Jaime Jara,Jaime,Jara,El Cucui,"6' 1""",205 lbs.,--,Southpaw,"Aug 02, 1969",38,18,0,,2.20,60%,1.47,56%,0.00,0%,25%,0.0,http://www.ufcstats.com/fighter-details/805ad1801eb26abb
Gigo Jara,Gigo,Jara,The Little Animal,"5' 9""",145 lbs.,--,,--,6,9,0,,2.26,57%,2.71,51%,0.00,0%,66%,0.0,http://www.ufcstats.com/fighter-details/99d5cf1eda8b25c1
Keith Jardine,Keith,Jardine,The Dean of Mean,"6' 2""",185 lbs.,"76.0""",Orthodox,"Oct 31, 1975",17,11,2,,3.25,36%,2.98,59%,1.18,45%,62%,0.7,http://www.ufcstats.com/fighter-details/b9d0fd83bb8a147a
Brock Jardine,Brock,Jardine,The Machine,"5' 11""",170 lbs.,--,Orthodox,"Jul 10, 1985",12,6,0,,1.06,30%,3.34,56%,0.00,0%,14%,0.8,http://www.ufcstats.com/fighter-details/64959f90b6dd9759
Josh Jarvis,Josh,Jarvis,,--,--,--,,--,1,4,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/32e8e0e8498f03c2
Patrick Kaase,Patrick,Kaase,Kamikaze,"5' 9""",185 lbs.,--,,--,1,2,0,,4.40,67%,0.53,50%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/b180f05acb24d430
Emily Kagan,Emily,Kagan,,"5' 3""",115 lbs.,--,,"Jul 14, 1981",3,3,0,,2.60,36%,5.29,38%,1.86,14%,50%,0.0,http://www.ufcstats.com/fighter-details/c1ea9d56cd953586
Oron Kahlon,Oron,Kahlon,,"5' 8""",135 lbs.,"70.0""",Orthodox,"Nov 04, 1984",16,1,0,,0.85,37%,4.93,36%,0.00,0%,40%,0.0,http://www.ufcstats.com/fighter-details/00a35c92b03992b0
Kaiwen,,Kaiwen,The Underdog,"5' 8""",145 lbs.,"71.0""",Switch,"Oct 16, 1995",15,7,0,,3.73,42%,4.72,54%,1.41,26%,92%,0.0,http://www.ufcstats.com/fighter-details/0565706b1e7f7e7c
Sirwan Kakai,Sirwan,Kakai,Zohan,"5' 5""",135 lbs.,--,Orthodox,"Oct 03, 1989",12,5,0,,3.57,41%,4.63,62%,4.00,42%,83%,0.0,http://www.ufcstats.com/fighter-details/2525a853486ee670
Saidyokub Kakhramonov,Saidyokub,Kakhramonov,,"5' 8""",135 lbs.,"69.0""",Orthodox,"Nov 14, 1995",10,3,0,,2.05,51%,0.88,58%,6.63,48%,83%,1.9,http://www.ufcstats.com/fighter-details/50a28b9f8314e008
Geza Kalman,Geza,Kalman,,"6' 1""",200 lbs.,--,,--,4,9,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/304fcd812f12c589
Bryson Kamaka,Bryson,Kamaka,,"5' 11""",170 lbs.,--,Orthodox,--,12,20,1,,9.47,60%,12.63,0%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/9336e86cfd4ceaa1
Kai Kamaka,Kai,Kamaka,The Fighting Hawaiian,"5' 7""",145 lbs.,"69.0""",Orthodox,"Jan 05, 1995",8,4,1,,4.96,57%,5.29,55%,1.93,58%,52%,0.3,http://www.ufcstats.com/fighter-details/eee0ef3e2b14816b
Shah Kamali,Shah,Kamali,,--,265 lbs.,--,,"Oct 25, 1998",4,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a46ab6c64d321c2d
Shuya Kamikubo,Shuya,Kamikubo,Stealth,"5' 5""",135 lbs.,"68.0""",Switch,"Apr 12, 1993",13,2,1,,3.83,54%,4.90,47%,1.50,15%,0%,0.5,http://www.ufcstats.com/fighter-details/a46fa1c7972548d0
Daichi Kamiya,Daichi,Kamiya,,"5' 8""",155 lbs.,"68.0""",Southpaw,"Apr 19, 1999",6,1,0,,1.69,53%,4.50,35%,5.07,27%,100%,0.0,http://www.ufcstats.com/fighter-details/a497e228cce8a64f
Martin Kampmann,Martin,Kampmann,The Hitman,"6' 0""",170 lbs.,"72.0""",Orthodox,"Apr 17, 1982",20,7,0,,3.22,42%,3.28,62%,1.86,41%,78%,2.0,http://www.ufcstats.com/fighter-details/8b69839f3555a67b
Koya Kanda,Koya,Kanda,Bushido,"5' 9""",145 lbs.,"75.0""",Southpaw,"Dec 20, 1995",12,5,0,,3.63,41%,2.90,53%,2.00,18%,100%,0.0,http://www.ufcstats.com/fighter-details/b42d3a1469dab722
Bharat Kandare,Bharat,Kandare,Daring,"5' 7""",135 lbs.,"72.0""",Orthodox,"Jun 20, 1987",5,3,0,,0.70,10%,1.88,72%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/efd2b3e9bb7965a4
Hiromitsu Kanehara,Hiromitsu,Kanehara,,"5' 10""",200 lbs.,--,Orthodox,"Oct 05, 1970",19,27,5,,0.76,22%,4.39,40%,0.00,0%,40%,0.4,http://www.ufcstats.com/fighter-details/eda579d906cf0ca2
Masanori Kanehara,Masanori,Kanehara,,"5' 7""",135 lbs.,"67.0""",Orthodox,"Nov 19, 1982",26,12,5,,1.88,49%,1.63,62%,1.44,50%,63%,0.9,http://www.ufcstats.com/fighter-details/f3a078277b3b8ff4
Ken Kaneko,Ken,Kaneko,,"6' 0""",161 lbs.,--,Orthodox,"Oct 19, 1976",0,3,0,,0.00,0%,0.94,42%,0.00,0%,0%,3.5,http://www.ufcstats.com/fighter-details/5345f86680378fc1
Denis Kang,Denis,Kang,,"5' 11""",185 lbs.,"77.0""",Orthodox,"Sep 17, 1977",35,16,2,,2.27,35%,1.65,67%,2.51,65%,38%,1.2,http://www.ufcstats.com/fighter-details/3c241737a6069b9f
Kyung Ho Kang,Kyung Ho,Kang,Mr. Perfect,"5' 9""",135 lbs.,"73.0""",Orthodox,"Sep 09, 1987",19,11,0,,3.13,47%,3.32,54%,1.97,50%,68%,0.8,http://www.ufcstats.com/fighter-details/a7897d200692ab64
Manel Kape,Manel,Kape,StarBoy,"5' 5""",125 lbs.,"68.0""",Southpaw,"Nov 14, 1993",22,7,0,,5.04,56%,4.08,57%,0.40,30%,81%,0.3,http://www.ufcstats.com/fighter-details/5d1b7e3dd9e11074
David Kaplan,David,Kaplan,Diamond,"5' 7""",155 lbs.,--,Orthodox,"Nov 16, 1979",3,4,0,,2.88,46%,4.32,67%,4.88,43%,0%,0.7,http://www.ufcstats.com/fighter-details/5669b828e7e11329
Kai Kara-France,Kai,Kara-France,Don't Blink,"5' 4""",125 lbs.,"69.0""",Orthodox,"Mar 26, 1993",25,12,0,,4.46,40%,3.24,64%,0.56,30%,83%,0.0,http://www.ufcstats.com/fighter-details/853eb0dd5c0e2149
Georgi Karakhanyan,Georgi,Karakhanyan,Insane,"5' 8""",145 lbs.,--,,"May 29, 1985",26,7,1,,4.49,39%,5.00,54%,1.41,50%,33%,1.9,http://www.ufcstats.com/fighter-details/43292ecf0e72c143
Alex Karalexis,Alex,Karalexis,The Assassin,"5' 8""",155 lbs.,"66.0""",Orthodox,"Sep 20, 1977",10,6,0,,2.57,42%,2.39,54%,2.70,45%,86%,0.9,http://www.ufcstats.com/fighter-details/e361e5c858af6ff1
Achmed Labasanov,Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978",7,4,0,,0.75,39%,1.10,46%,3.00,100%,0%,0.8,http://www.ufcstats.com/fighter-details/b3fb8d2293e17a59
Josh LaBerge,Josh,LaBerge,,"5' 10""",145 lbs.,--,,--,11,6,0,,2.53,36%,5.33,44%,0.00,0%,71%,0.0,http://www.ufcstats.com/fighter-details/5108b169b5fe1f86
Jeremiah Labiano,Jeremiah,Labiano,The Kid,"5' 10""",135 lbs.,--,,--,11,5,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4fe1d105af549845
Daniel Lacerda,Daniel,Lacerda,Miojo,"5' 6""",125 lbs.,"70.0""",Switch,"Jun 05, 1996",11,6,0,,3.95,45%,8.28,34%,2.32,50%,0%,1.2,http://www.ufcstats.com/fighter-details/31bb0772f21cabd8
Luan Lacerda,Luan,Lacerda,,"5' 7""",135 lbs.,"71.0""",Orthodox,"Jan 07, 1993",13,4,0,,4.06,42%,6.15,49%,2.82,39%,66%,0.6,http://www.ufcstats.com/fighter-details/6fc506e1099afe20
Kemran Lachinov,Kemran,Lachinov,,--,170 lbs.,--,,--,3,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/eb84192d1a97f69e
Aspen Ladd,Aspen,Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,"Mar 01, 1995",9,3,0,,3.78,47%,4.65,47%,1.56,47%,62%,0.6,http://www.ufcstats.com/fighter-details/d4691518d012b9e7
Ryan LaFlare,Ryan,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,"Oct 01, 1983",14,3,0,,2.89,40%,1.86,63%,2.13,44%,58%,0.2,http://www.ufcstats.com/fighter-details/4c7781da8c6cae93
Corinne Laframboise,Corinne,Laframboise,,"5' 4""",125 lbs.,"65.0""",Orthodox,"May 25, 1989",8,5,0,,3.16,68%,1.89,47%,3.16,100%,33%,0.0,http://www.ufcstats.com/fighter-details/fbe9f4efc2153be2
Ben Lagman,Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,"Sep 04, 1986",6,5,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/b40e65d71a8d4ce5
Noad Lahat,Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,"Jun 08, 1984",11,2,0,,2.79,46%,1.47,63%,2.37,26%,16%,2.4,http://www.ufcstats.com/fighter-details/9f755fb04cc21499
Tina Lahdemaki,Tina,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,"May 28, 1988",5,1,0,,1.93,20%,4.67,57%,0.00,0%,16%,0.0,http://www.ufcstats.com/fighter-details/e5ca2bc2451a5956
Yohan Lainesse,Yohan,Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,"Aug 14, 1992",9,3,0,,2.22,41%,3.38,58%,0.94,28%,72%,0.5,http://www.ufcstats.com/fighter-details/f998f5c102250d6e
Tim Lajcik,Tim,Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965",7,6,1,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/c7e9d15cfce52f1d
Todd Lally,Todd,Lally,,"5' 7""",145 lbs.,--,Orthodox,--,2,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7d06092326c52528
Sean Lally,Sean,Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,"Nov 04, 1990",7,3,0,,5.34,39%,7.23,30%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e62ce041bb7aeb1f
Ricardo Lamas,Ricardo,Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,"May 21, 1982",20,8,0,,3.13,47%,2.87,57%,1.84,33%,46%,0.9,http://www.ufcstats.com/fighter-details/3974fa35c917af1d
Jason Lambert,Jason,Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,"Jun 03, 1975",26,13,0,,3.21,58%,1.84,50%,1.35,36%,28%,2.4,http://www.ufcstats.com/fighter-details/5be86bb2f78fef2f
Jose Landi-Jons,Jose,Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,"Sep 09, 1973",29,16,0,,0.99,40%,0.77,43%,2.20,80%,40%,2.2,http://www.ufcstats.com/fighter-details/7e062824c175f975
Nate Landwehr,Nate,Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,"Jun 06, 1988",18,7,0,,5.63,45%,5.83,52%,0.76,41%,71%,0.8,http://www.ufcstats.com/fighter-details/583ee11abddfc581
Austen Lane,Austen,Lane,,"6' 6""",205 lbs.,"80.0""",Orthodox,"Nov 09, 1987",13,8,0,,2.70,50%,2.45,39%,1.50,28%,33%,0.0,http://www.ufcstats.com/fighter-details/be9bdec19b7e9ffe
Aaron Lanfranco,Aaron,Lanfranco,,--,155 lbs.,--,,"Aug 26, 1986",5,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d73e856f150744b2
Jeremy Lang,Jeremy,Lang,,"5' 11""",205 lbs.,--,Southpaw,"May 11, 1975",21,2,0,,1.13,50%,1.41,42%,4.22,60%,0%,4.2,http://www.ufcstats.com/fighter-details/09422812370fbdfe
Lionel Lanham,Lionel,Lanham,,--,205 lbs.,--,,"Aug 31, 1980",5,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/b8980dd7e8fc5976
Lina Lansberg,Lina,Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,"Mar 13, 1982",10,8,0,,2.69,55%,3.87,44%,0.52,27%,47%,0.1,http://www.ufcstats.com/fighter-details/2eeaefbfc7f9fcff
Dong Hyun Ma,Dong Hyun,Ma,Maestro,"5' 11""",155 lbs.,"70.0""",Orthodox,"Sep 09, 1988",16,11,3,,2.84,41%,4.10,54%,1.27,53%,33%,0.0,http://www.ufcstats.com/fighter-details/98a6b2361045898f
Pawan Maan,Pawan,Maan,,"5' 7""",155 lbs.,"70.0""",Orthodox,"Apr 06, 1986",7,3,1,,0.89,44%,2.98,43%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/450bacdacd706bcd
William Macario,William,Macario,Patolino,"5' 11""",170 lbs.,"75.0""",Orthodox,"Jul 01, 1991",9,3,0,,4.92,54%,3.96,65%,1.85,45%,78%,0.0,http://www.ufcstats.com/fighter-details/ed74afc8b5b47a61
Jason MacDonald,Jason,MacDonald,The Athlete,"6' 3""",185 lbs.,"80.0""",Orthodox,"Jun 03, 1975",25,16,0,,1.55,52%,2.70,46%,1.43,16%,35%,2.0,http://www.ufcstats.com/fighter-details/2be6596a9db33bf5
Rob MacDonald,Rob,MacDonald,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,"Sep 05, 1978",5,4,0,,1.80,50%,2.04,46%,7.19,80%,80%,5.4,http://www.ufcstats.com/fighter-details/f3388d2cf7ab3f64
Rory MacDonald,Rory,MacDonald,Red King,"6' 0""",170 lbs.,"76.0""",Orthodox,"Jul 22, 1989",19,4,0,,3.75,42%,2.80,62%,1.77,47%,88%,0.4,http://www.ufcstats.com/fighter-details/cbd5d3cdd862e90e
Ryan MacDonald,Ryan,MacDonald,Main Event,"5' 11""",135 lbs.,"71.0""",Switch,"Mar 18, 1993",10,2,0,,2.28,29%,6.49,45%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/35e1f9984ed64206
Clayton MacFarlane,Clayton,MacFarlane,,--,170 lbs.,--,,--,4,1,0,,1.33,52%,1.82,55%,1.05,33%,37%,0.0,http://www.ufcstats.com/fighter-details/39831e62d12e7ad1
Ilima Macfarlane,Ilima,Macfarlane,,"5' 4""",125 lbs.,--,,--,6,0,0,,4.13,43%,2.93,65%,0.00,0%,50%,1.0,http://www.ufcstats.com/fighter-details/8cf90e41646491fd
Valesca Machado,Valesca,Machado,Tina Black,"5' 4""",115 lbs.,"63.0""",Orthodox,"May 06, 1996",8,3,0,,2.40,32%,2.87,64%,0.00,0%,76%,0.0,http://www.ufcstats.com/fighter-details/a1a91dbf41a029c4
Caio Machado,Caio,Machado,Bigfoot,"6' 4""",250 lbs.,"78.0""",Southpaw,"Jul 20, 1994",8,4,1,,5.82,53%,2.87,63%,0.00,0%,82%,0.0,http://www.ufcstats.com/fighter-details/89839250eb25c9c1
Ian Machado Garry,Ian,Machado Garry,The Future,"6' 3""",170 lbs.,"74.0""",Orthodox,"Nov 17, 1997",17,1,0,,4.78,54%,2.86,52%,0.92,31%,80%,0.4,http://www.ufcstats.com/fighter-details/442c9011034ae1fd
Lyoto Machida,Lyoto,Machida,The Dragon,"6' 1""",185 lbs.,"74.0""",Southpaw,"May 30, 1978",24,8,0,,2.59,53%,1.57,61%,1.21,65%,75%,0.4,http://www.ufcstats.com/fighter-details/f7a7f7118d4b01b6
War Machine,War,Machine,,"5' 11""",170 lbs.,--,Orthodox,"Nov 30, 1981",14,5,0,,2.32,60%,3.17,43%,1.16,50%,40%,0.0,http://www.ufcstats.com/fighter-details/cd7bafbeee1f29a0
Anthony Macias,Anthony,Macias,Mad Dog,"5' 9""",185 lbs.,--,Switch,"Feb 09, 1969",26,18,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/dedc3bb440d09554
Pauline Macias,Pauline,Macias,PITA,"5' 4""",115 lbs.,"64.0""",Southpaw,"Jun 27, 1988",4,1,0,,0.80,29%,4.60,42%,2.00,18%,0%,0.0,http://www.ufcstats.com/fighter-details/e88b83dea18f5d31
Reza Madadi,Reza,Madadi,Mad Dog,"5' 11""",155 lbs.,"73.0""",Orthodox,"Jun 20, 1978",14,6,0,,2.51,46%,3.31,66%,3.17,33%,89%,0.5,http://www.ufcstats.com/fighter-details/e25bcbcdaf6537a1
Don Madge,Don,Madge,Magic Man,"6' 0""",155 lbs.,"72.0""",Southpaw,"Nov 12, 1990",9,3,1,,2.08,52%,0.74,67%,2.22,25%,80%,0.7,http://www.ufcstats.com/fighter-details/68c7ad953455c73f
Ryan Madigan,Ryan,Madigan,,"6' 0""",170 lbs.,--,Orthodox,--,5,3,0,,0.00,0%,3.35,47%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a8d521d913df4e31
Victor Madrigal,Victor,Madrigal,Periquito,"5' 7""",135 lbs.,"71.0""",Orthodox,"Aug 16, 1990",15,5,0,,2.31,38%,9.56,50%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/cc63a5f0089d8ba9
Jon Madsen,Jon,Madsen,,"6' 0""",240 lbs.,"72.0""",Orthodox,"Feb 12, 1980",8,2,0,,2.46,41%,1.18,81%,1.32,71%,70%,0.0,http://www.ufcstats.com/fighter-details/7691a80e6ca3e55b
Mark Madsen,Mark,Madsen,The Olympian,"5' 8""",155 lbs.,"72.0""",Orthodox,"Sep 23, 1984",12,2,0,,3.56,49%,3.97,52%,2.86,66%,62%,0.0,http://www.ufcstats.com/fighter-details/da0995f19b749cfa
Yoshiro Maeda,Yoshiro,Maeda,,"5' 7""",139 lbs.,"68.0""",Southpaw,"Oct 31, 1981",35,16,5,,2.36,33%,2.55,63%,2.93,51%,50%,0.7,http://www.ufcstats.com/fighter-details/a4bf17bd3ba3423b
Leonardo Mafra,Leonardo,Mafra,Macarrao,"5' 10""",155 lbs.,"70.0""",Orthodox,"Apr 25, 1989",13,4,0,,4.55,48%,4.38,43%,2.12,83%,69%,0.4,http://www.ufcstats.com/fighter-details/8bbc0cfc01bc1ba1
Vinny Magalhaes,Vinny,Magalhaes,Pezao,"6' 3""",205 lbs.,"75.0""",Orthodox,"Jul 02, 1984",14,9,0,,2.14,24%,3.97,68%,1.55,44%,66%,0.8,http://www.ufcstats.com/fighter-details/88a9bc81271ccd89
Katsuhiko Nagata,Katsuhiko,Nagata,,"5' 7""",154 lbs.,--,Southpaw,"Oct 31, 1973",6,7,3,,1.05,19%,1.50,63%,0.98,28%,28%,0.0,http://www.ufcstats.com/fighter-details/d5ae8074631762fc
Yuji Nagata,Yuji,Nagata,,"6' 0""",225 lbs.,--,Orthodox,"Apr 24, 1968",0,2,0,,1.45,40%,14.46,4%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e49c2db95e572dc8
Greg Nagy,Greg,Nagy,,"6' 1""",210 lbs.,--,Orthodox,"Oct 18, 1983",1,3,0,,0.41,50%,2.69,37%,0.00,0%,0%,1.2,http://www.ufcstats.com/fighter-details/342422bb6ced1e8d
Logan Nail,Logan,Nail,,--,185 lbs.,--,,"Jun 20, 1989",1,1,0,,1.93,51%,2.27,39%,0.00,0%,37%,0.0,http://www.ufcstats.com/fighter-details/47e0b5833e6bc91a
Muhammad Naimov,Muhammad,Naimov,Hillman,"5' 9""",145 lbs.,"70.0""",Orthodox,"Aug 07, 1994",13,4,0,,2.51,40%,3.35,44%,1.49,30%,68%,0.2,http://www.ufcstats.com/fighter-details/8d11d9c13e2ccdf7
Yukiya Naito,Yukiya,Naito,,"6' 1""",205 lbs.,--,Orthodox,"Feb 28, 1977",15,6,2,,1.54,33%,5.13,60%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7be328bb3c2ea22e
Yura Naito,Yura,Naito,2 FACE,"6' 0""",185 lbs.,"74.0""",Orthodox,"Apr 26, 1996",6,1,0,,1.22,44%,5.33,28%,1.67,9%,0%,0.0,http://www.ufcstats.com/fighter-details/50c469e0cb73be10
Andrews Nakahara,Andrews,Nakahara,,"6' 1""",185 lbs.,--,Orthodox,"Mar 12, 1983",5,4,2,,2.68,44%,1.90,57%,0.00,0%,72%,0.4,http://www.ufcstats.com/fighter-details/7a9ca95a92d7b64c
Rin Nakai,Rin,Nakai,,"5' 1""",135 lbs.,--,Orthodox,"Oct 22, 1986",19,2,1,,1.57,33%,3.90,60%,3.00,18%,75%,0.5,http://www.ufcstats.com/fighter-details/f9ae6914f604aa9f
Kazuhiro Nakamura,Kazuhiro,Nakamura,Kaz,"5' 11""",205 lbs.,"70.0""",Orthodox,"Jul 16, 1979",21,13,0,,1.56,37%,1.83,59%,1.73,36%,42%,0.6,http://www.ufcstats.com/fighter-details/b034747dc1d15491
Keita Nakamura,Keita,Nakamura,K-Taro,"5' 11""",170 lbs.,"73.0""",Southpaw,"May 22, 1984",34,10,2,,2.23,36%,3.20,58%,1.65,48%,63%,0.3,http://www.ufcstats.com/fighter-details/65ddc8a9ac4e8531
Daisuke Nakamura,Daisuke,Nakamura,,"5' 7""",154 lbs.,--,Orthodox,"Jun 10, 1980",28,19,1,,0.94,30%,1.38,61%,0.46,40%,30%,3.6,http://www.ufcstats.com/fighter-details/a196332ee4aa8a82
Yusaku Nakamura,Yusaku,Nakamura,,"5' 5""",145 lbs.,--,,"Jun 21, 1986",14,4,1,,1.72,45%,3.67,55%,0.00,0%,83%,0.0,http://www.ufcstats.com/fighter-details/03e8df49c4a059ba
Rinya Nakamura,Rinya,Nakamura,Hybred,"5' 7""",135 lbs.,"68.0""",Southpaw,"Mar 23, 1995",10,1,0,,3.27,52%,1.72,63%,2.58,81%,100%,1.4,http://www.ufcstats.com/fighter-details/d8c811df0386d5e8
Keiichiro Nakamura,Keiichiro,Nakamura,,"5' 10""",145 lbs.,"70.0""",Southpaw,"Dec 02, 1998",8,1,0,,4.48,41%,4.28,63%,0.00,0%,78%,0.0,http://www.ufcstats.com/fighter-details/3618e0632ecdba9c
Tokitaka Nakanishi,Tokitaka,Nakanishi,Toky,"5' 6""",135 lbs.,"66.0""",Orthodox,"Jul 28, 1996",12,4,0,,1.10,44%,1.57,45%,3.00,37%,0%,0.0,http://www.ufcstats.com/fighter-details/eb9446a4f44e19cf
Jutaro Nakao,Jutaro,Nakao,,"5' 9""",170 lbs.,--,Southpaw,"Nov 30, 1970",25,19,4,,0.53,38%,1.06,44%,0.38,50%,56%,0.0,http://www.ufcstats.com/fighter-details/95eb112a85601a0a
Yoshihiro Nakao,Yoshihiro,Nakao,Kiss,"6' 0""",220 lbs.,--,Southpaw,"Jun 25, 1972",9,3,0,,1.73,35%,2.06,64%,2.69,46%,0%,0.5,http://www.ufcstats.com/fighter-details/e18012194473e8b0
Mandel Nallo,Mandel,Nallo,Mango,"6' 0""",155 lbs.,"75.0""",Orthodox,"Jul 26, 1989",14,3,0,,8.61,62%,2.58,72%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/8f4528c10bd34fab
Yui Chul Nam,Yui Chul,Nam,The Korean Bulldozer,"5' 9""",145 lbs.,--,Orthodox,"Jul 16, 1981",18,8,1,,3.53,51%,2.00,48%,1.33,16%,57%,0.3,http://www.ufcstats.com/fighter-details/a00ec21cfbba17b6
